time,BE,DE,DK,GB,NL,NO,hour,dayofweek,month
2014-12-31 23:00:00+00:00,9555,47445.36082,3337.9,33623.59091,11586,6236.2,23,2,12
2015-01-01 00:00:00+00:00,9094,45923.71134,3223.2,33838.59091,11338,6268.8,0,3,1
2015-01-01 01:00:00+00:00,8691,44295.87629,3090.7,33390.59091,10917,6087.67,1,3,1
2015-01-01 02:00:00+00:00,8354,42868.04124,2953.4,31003.81818,10473,6028.72,2,3,1
2015-01-01 03:00:00+00:00,8080,42230.92784,2888.7,28861.81818,10200,5944.24,3,3,1
2015-01-01 04:00:00+00:00,7965,41491.75258,2916.7,27042.27273,10182,5978.83,4,3,1
2015-01-01 05:00:00+00:00,8005,40008.24742,3039.4,26506.40909,10317,6040.41,5,3,1
2015-01-01 06:00:00+00:00,7749,40252.57732,3172,27141.18182,10616,6092.15,6,3,1
2015-01-01 07:00:00+00:00,7769,40949.48454,3282.7,27663.45455,10875,6192.91,7,3,1
2015-01-01 08:00:00+00:00,7860,43330.92784,3484.8,28633.86364,11225,6353.99,8,3,1
2015-01-01 09:00:00+00:00,8092,46042.26804,3614.1,31614.86364,11768,6466.57,9,3,1
2015-01-01 10:00:00+00:00,8346,49177.31959,3780.9,35078.27273,12241,6515.73,10,3,1
2015-01-01 11:00:00+00:00,8533,50292.78351,3853.1,37840.86364,12375,6594,11,3,1
2015-01-01 12:00:00+00:00,8483,49550.51546,3884.7,39695.81818,12433,6703.25,12,3,1
2015-01-01 13:00:00+00:00,8365,48550.51546,3904.2,40078.31818,12492,6772.83,13,3,1
2015-01-01 14:00:00+00:00,8424,48623.71134,4019.6,40046.63636,12467,6902.43,14,3,1
2015-01-01 15:00:00+00:00,8595,51205.15464,4271.8,40797.27273,12907,6926.89,15,3,1
2015-01-01 16:00:00+00:00,9265,55873.19588,4528,43754.27273,14056,6895.47,16,3,1
2015-01-01 17:00:00+00:00,9505,56612.37113,4471.7,45062.81818,14127,6801.88,17,3,1
2015-01-01 18:00:00+00:00,9457,55575.25773,4253.7,43508,13959,6674.16,18,3,1
2015-01-01 19:00:00+00:00,9229,53380.41237,4046.8,41423.54545,13598,6564.1,19,3,1
2015-01-01 20:00:00+00:00,9085,52139.17526,3871.8,39184.72727,13055,6422.52,20,3,1
2015-01-01 21:00:00+00:00,9544,51942.26804,3637.8,36209.09091,12404,6256.76,21,3,1
2015-01-01 22:00:00+00:00,9688,49092.78351,3573,33604.45455,11642,6394.05,22,3,1
2015-01-01 23:00:00+00:00,9147,46297.93814,3365.4,30406.54545,11000,5932.72,23,3,1
2015-01-02 00:00:00+00:00,8660,44330.92784,3210.5,29514.95455,10515,5810.79,0,4,1
2015-01-02 01:00:00+00:00,8212,43297.93814,3171.1,28720.13636,10219,5802.28,1,4,1
2015-01-02 02:00:00+00:00,7958,43088.65979,3177.1,27568.95455,10119,5708.19,2,4,1
2015-01-02 03:00:00+00:00,7908,44057.73196,3204.8,26433.86364,10176,5746.87,3,4,1
2015-01-02 04:00:00+00:00,8145,45675.25773,3305.5,25663.5,10510,5926.19,4,4,1
2015-01-02 05:00:00+00:00,8607,48176.28866,3662.5,26389.13636,11332,6158.39,5,4,1
2015-01-02 06:00:00+00:00,8834,52085.56701,4019.1,29565.13636,12454,6520.54,6,4,1
2015-01-02 07:00:00+00:00,9346,55923.71134,4325.8,33327.31818,13594,6869.42,7,4,1
2015-01-02 08:00:00+00:00,9805,59093.81443,4508.5,36659.18182,14469,7012.08,8,4,1
2015-01-02 09:00:00+00:00,10147,61242.26804,4612,39769.77273,14906,7090.35,9,4,1
2015-01-02 10:00:00+00:00,10375,62901.03093,4573.5,40854.36364,14953,7165.93,10,4,1
2015-01-02 11:00:00+00:00,10371,63305.15464,4489,41388.31818,14766,7205.85,11,4,1
2015-01-02 12:00:00+00:00,10170,62268.04124,4468.6,41398.63636,14636,7121.97,12,4,1
2015-01-02 13:00:00+00:00,9799,61083.50515,4434.1,41274.04545,14585,7178.04,13,4,1
2015-01-02 14:00:00+00:00,9730,60588.65979,4452.7,41886.04545,14556,7288.62,14,4,1
2015-01-02 15:00:00+00:00,9982,62315.46392,4761.8,43436.68182,14871,7436.12,15,4,1
2015-01-02 16:00:00+00:00,10771,65736.08247,5164.7,48918.40909,16174,7381.02,16,4,1
2015-01-02 17:00:00+00:00,10962,65758.76289,5066.6,52266.31818,15822,7304.47,17,4,1
2015-01-02 18:00:00+00:00,10584,63725.7732,4681.8,51168.18182,15358,7254.32,18,4,1
2015-01-02 19:00:00+00:00,10093,59883.50515,4332.5,48476.22727,14711,7099.95,19,4,1
2015-01-02 20:00:00+00:00,9588,57591.75258,4090.5,45100.36364,13866,6923.85,20,4,1
2015-01-02 21:00:00+00:00,9973,56477.31959,3822.4,41684.59091,13075,6802.78,21,4,1
2015-01-02 22:00:00+00:00,10038,53063.91753,3708.3,37980.95455,12359,6625.96,22,4,1
2015-01-02 23:00:00+00:00,9484,49446.39175,3510.5,34415.40909,11558,6437.5,23,4,1
2015-01-03 00:00:00+00:00,8899,47089.69072,3362.2,33035.36364,10995,6284.27,0,5,1
2015-01-03 01:00:00+00:00,8454,45614.43299,3275.2,32156.72727,10593,6207.53,1,5,1
2015-01-03 02:00:00+00:00,8123,45094.84536,3211.4,30555.27273,10386,6191.18,2,5,1
2015-01-03 03:00:00+00:00,8117,45389.69072,3162.8,29301.86364,10329,6196.04,3,5,1
2015-01-03 04:00:00+00:00,8163,45576.28866,3219.2,28327.31818,10536,6262.88,4,5,1
2015-01-03 05:00:00+00:00,8438,45908.24742,3407.2,28633,10948,6355.1,5,5,1
2015-01-03 06:00:00+00:00,8596,48561.85567,3643.1,30892.36364,11667,6440.23,6,5,1
2015-01-03 07:00:00+00:00,9194,52079.38144,3895.4,33608.59091,12691,6636.45,7,5,1
2015-01-03 08:00:00+00:00,9701,55675.25773,4028.9,37422.90909,13689,6874.91,8,5,1
2015-01-03 09:00:00+00:00,10270,58290.72165,4150,41869.72727,14351,7078.44,9,5,1
2015-01-03 10:00:00+00:00,10651,60320.61856,4142,44624.95455,14637,7167.91,10,5,1
2015-01-03 11:00:00+00:00,10732,60593.81443,4094.8,45834.5,14684,7209.26,11,5,1
2015-01-03 12:00:00+00:00,10608,59637.1134,4032.3,46223.59091,14527,7161.99,12,5,1
2015-01-03 13:00:00+00:00,10346,58745.36082,3986.6,45590.04545,14444,7220.94,13,5,1
2015-01-03 14:00:00+00:00,10304,58759.79381,4014.5,44830,14417,7288.19,14,5,1
2015-01-03 15:00:00+00:00,10504,60625.7732,4359.2,45141.59091,14812,7430.77,15,5,1
2015-01-03 16:00:00+00:00,10955,63653.60825,4825.1,49162.27273,15526,7404.24,16,5,1
2015-01-03 17:00:00+00:00,11023,63745.36082,4727.3,52549.27273,15225,7414.04,17,5,1
2015-01-03 18:00:00+00:00,10579,61573.19588,4380.2,51466.09091,14760,7294.22,18,5,1
2015-01-03 19:00:00+00:00,10157,57778.35052,4081.2,48744.95455,14136,7130.99,19,5,1
2015-01-03 20:00:00+00:00,9747,55372.16495,3864.2,45725.90909,13428,7028.64,20,5,1
2015-01-03 21:00:00+00:00,9980,54548.45361,3628.9,42600.27273,12752,6927.97,21,5,1
2015-01-03 22:00:00+00:00,10007,51589.69072,3407,39544.04545,12040,6776.16,22,5,1
2015-01-03 23:00:00+00:00,9553,48179.38144,3310.1,36356.40909,11382,6502.19,23,5,1
2015-01-04 00:00:00+00:00,9007,45887.62887,3231.7,35277.18182,10841,6372.94,0,6,1
2015-01-04 01:00:00+00:00,8573,44602.06186,3141.3,34223.40909,10478,6309.61,1,6,1
2015-01-04 02:00:00+00:00,8283,43895.87629,3104,32674.40909,10314,6379.96,2,6,1
