BE,DE,DK,GB,NO,NL,time,hour,dayofweek,month
0.759461733,0.393117428,0.546,0.320142602,0.545506315,0.546,01/01/2015 00:00,0,3,1
0.757569386,0.390280351,0.54,0.29483066,0.545384287,0.54,01/01/2015 01:00,1,3,1
0.762405383,0.389117271,0.54,0.294117647,0.545201245,0.54,01/01/2015 02:00,2,3,1
0.769343987,0.387282849,0.538,0.29483066,0.545282597,0.538,01/01/2015 03:00,3,3,1
0.78195963,0.385833795,0.542,0.294474153,0.545363949,0.542,01/01/2015 04:00,4,3,1
0.776492851,0.385385652,0.54,0.296613191,0.545119893,0.54,01/01/2015 05:00,5,3,1
0.765349033,0.383838947,0.538,0.31087344,0.545669019,0.538,01/01/2015 06:00,6,3,1
0.766820858,0.383724732,0.546,0.425311943,0.545262259,0.546,01/01/2015 07:00,7,3,1
0.772497897,0.386743159,0.564,0.450623886,0.545831723,0.564,01/01/2015 08:00,8,3,1
0.77901598,0.389016134,0.562,0.537967914,0.546401188,0.562,01/01/2015 09:00,9,3,1
0.794154752,0.392236836,0.562,0.52228164,0.54658423,0.562,01/01/2015 10:00,10,3,1
0.867746005,0.39313225,0.562,0.386809269,0.546604568,0.562,01/01/2015 11:00,11,3,1
0.898654331,0.391199306,0.564,0.348663102,0.547052004,0.564,01/01/2015 12:00,12,3,1
0.905803196,0.390082436,0.562,0.404991087,0.547052004,0.562,01/01/2015 13:00,13,3,1
0.903700589,0.389161737,0.568,0.475935829,0.546319836,0.568,01/01/2015 14:00,14,3,1
0.891295206,0.388042251,0.568,0.435650624,0.546197808,0.568,01/01/2015 15:00,15,3,1
0.885828427,0.38800912,0.57,0.557575758,0.545689357,0.57,01/01/2015 16:00,16,3,1
0.883515559,0.387741455,0.564,0.646702317,0.545750371,0.564,01/01/2015 17:00,17,3,1
0.85744323,0.38033663,0.562,0.660962567,0.546340174,0.562,01/01/2015 18:00,18,3,1
0.870479394,0.38068538,0.56,0.570409982,0.545669019,0.56,01/01/2015 19:00,19,3,1
0.873633305,0.379810019,0.562,0.43030303,0.54627916,0.562,01/01/2015 20:00,20,3,1
0.859756098,0.3820673,0.572,0.356149733,0.546441864,0.572,01/01/2015 21:00,21,3,1
0.85765349,0.381120445,0.57,0.300891266,0.543696231,0.57,01/01/2015 22:00,22,3,1
0.853658537,0.378757667,0.57,0.279857398,0.583335028,0.57,01/01/2015 23:00,23,3,1
0.858494533,0.37727025,0.57,0.296613191,0.583335028,0.57,01/02/2015 00:00,0,6,2
0.852396972,0.375524759,0.57,0.29483066,0.583457056,0.57,01/02/2015 01:00,1,6,2
0.851555929,0.376114146,0.57,0.296613191,0.583762127,0.57,01/02/2015 02:00,2,6,2
0.893397813,0.374526464,0.56,0.308377897,0.558319266,0.56,01/02/2015 03:00,3,6,2
0.908326325,0.375240528,0.484,0.306595365,0.558136224,0.484,01/02/2015 04:00,4,6,2
0.890033642,0.38325392,0.408,0.306951872,0.561125913,0.408,01/02/2015 05:00,5,6,2
0.844827586,0.382599143,0.42,0.314795009,0.557709126,0.42,01/02/2015 06:00,6,6,2
0.799201009,0.380639171,0.314,0.406773619,0.557627774,0.314,01/02/2015 07:00,7,6,2
0.804037006,0.377124647,0.432,0.499108734,0.582887592,0.432,01/02/2015 08:00,8,6,2
0.819596299,0.376858726,0.43,0.527629234,0.582074071,0.43,01/02/2015 09:00,9,6,2
0.837888982,0.37851703,0.57,0.490196078,0.582094409,0.57,01/02/2015 10:00,10,6,2
0.867115223,0.375694774,0.568,0.452406417,0.585592548,0.568,01/02/2015 11:00,11,6,2
0.879941127,0.373796705,0.568,0.424955437,0.585612886,0.568,01/02/2015 12:00,12,6,2
0.878469302,0.379669647,0.568,0.407843137,0.584758689,0.568,01/02/2015 13:00,13,6,2
0.878889823,0.379971315,0.568,0.401782531,0.588826293,0.568,01/02/2015 14:00,14,6,2
0.848612279,0.379472604,0.57,0.450623886,0.588846631,0.57,01/02/2015 15:00,15,6,2
0.830109336,0.381930416,0.566,0.542245989,0.58496207,0.566,01/02/2015 16:00,16,6,2
0.841463415,0.381951341,0.566,0.623529412,0.58496207,0.566,01/02/2015 17:00,17,6,2
0.840412111,0.383647135,0.552,0.609625668,0.583538408,0.552,01/02/2015 18:00,18,6,2
0.854499579,0.383965369,0.536,0.479144385,0.58290793,0.536,01/02/2015 19:00,19,6,2
0.855340622,0.392691082,0.538,0.485561497,0.582155423,0.538,01/02/2015 20:00,20,6,2
0.853027754,0.397340785,0.536,0.439928699,0.578657284,0.536,01/02/2015 21:00,21,6,2
0.860176619,0.399447232,0.536,0.422816399,0.577518355,0.536,01/02/2015 22:00,22,6,2
0.882674516,0.3975666,0.538,0.365775401,0.620879009,0.538,01/02/2015 23:00,23,6,2
0.89255677,0.398189118,0.536,0.335115865,0.620797657,0.536,01/03/2015 00:00,0,6,3
0.885197645,0.400436809,0.536,0.333333333,0.621367122,0.536,01/03/2015 01:00,1,6,3
0.880992431,0.400214481,0.538,0.324064171,0.621448474,0.538,01/03/2015 02:00,2,6,3
0.873633305,0.396139343,0.536,0.320499109,0.620797657,0.536,01/03/2015 03:00,3,6,3
0.859545837,0.395343322,0.536,0.317647059,0.620675629,0.536,01/03/2015 04:00,4,6,3
0.866904962,0.398417549,0.538,0.31087344,0.618967235,0.538,01/03/2015 05:00,5,6,3
0.868797309,0.400407165,0.6,0.321212121,0.618153715,0.6,01/03/2015 06:00,6,6,3
0.875735913,0.405038559,0.608,0.346167558,0.617868982,0.608,01/03/2015 07:00,7,6,3
0.87195122,0.414949148,0.612,0.414616756,0.616994448,0.612,01/03/2015 08:00,8,6,3
0.846089151,0.417110523,0.61,0.472727273,0.621875572,0.61,01/03/2015 09:00,9,6,3
0.83999159,0.424238091,0.604,0.458110517,0.622078952,0.604,01/03/2015 10:00,10,6,3
0.855130362,0.426256479,0.584,0.463101604,0.620675629,0.584,01/03/2015 11:00,11,6,3
0.878259041,0.431401406,0.586,0.450980392,0.620370559,0.586,01/03/2015 12:00,12,6,3
0.881833474,0.437786138,0.586,0.40855615,0.619312982,0.586,01/03/2015 13:00,13,6,3
0.850294365,0.444110711,0.594,0.39714795,0.618296081,0.594,01/03/2015 14:00,14,6,3
0.830740118,0.452724824,0.588,0.412834225,0.618723179,0.588,01/03/2015 15:00,15,6,3
0.840832632,0.462172448,0.59,0.489839572,0.619312982,0.59,01/03/2015 16:00,16,6,3
0.82569386,0.472357678,0.586,0.648484848,0.618987573,0.586,01/03/2015 17:00,17,6,3
0.849032801,0.485693859,0.59,0.581105169,0.62014684,0.59,01/03/2015 18:00,18,6,3
0.859335576,0.498760631,0.592,0.505525847,0.621245093,0.592,01/03/2015 19:00,19,6,3
0.879941127,0.507454957,0.594,0.417825312,0.622790783,0.594,01/03/2015 20:00,20,6,3
0.876366695,0.516926994,0.598,0.383957219,0.623319571,0.598,01/03/2015 21:00,21,6,3
0.840412111,0.530838612,0.594,0.380748663,0.618987573,0.594,01/03/2015 22:00,22,6,3
0.811606392,0.551964986,0.592,0.336898396,0.60835079,0.592,01/03/2015 23:00,23,6,3
0.784693019,0.587271515,0.608,0.322994652,0.605808538,0.608,01/04/2015 00:00,0,2,4
0.787426409,0.613296075,0.608,0.344385027,0.606357664,0.608,01/04/2015 01:00,1,2,4
0.786795627,0.623354883,0.608,0.328342246,0.606439016,0.608,01/04/2015 02:00,2,2,4
0.795836838,0.632699626,0.608,0.31942959,0.606235636,0.608,01/04/2015 03:00,3,2,4
0.797939445,0.639299711,0.608,0.315151515,0.607354227,0.608,01/04/2015 04:00,4,2,4
0.78784693,0.638003235,0.608,0.314081996,0.607862678,0.608,01/04/2015 05:00,5,2,4
0.765979815,0.631133741,0.608,0.31942959,0.609062621,0.608,01/04/2015 06:00,6,2,4
0.728553406,0.62435841,0.612,0.337967914,0.613597999,0.612,01/04/2015 07:00,7,2,4
0.696593776,0.618028606,0.612,0.336185383,0.614472534,0.612,01/04/2015 08:00,8,2,4
0.685870479,0.611901949,0.614,0.377896613,0.615143688,0.614,01/04/2015 09:00,9,2,4
0.703322119,0.605856376,0.61,0.436363636,0.614879294,0.61,01/04/2015 10:00,10,2,4
0.718881413,0.594051205,0.61,0.459893048,0.613231914,0.61,01/04/2015 11:00,11,2,4
0.727502103,0.587697861,0.656,0.456327986,0.613211576,0.656,01/04/2015 12:00,12,2,4
0.703322119,0.58417026,0.678,0.416042781,0.613496309,0.678,01/04/2015 13:00,13,2,4
0.703111859,0.582002781,0.68,0.391800357,0.614025097,0.68,01/04/2015 14:00,14,2,4
0.695962994,0.579034923,0.684,0.388235294,0.614635238,0.684,01/04/2015 15:00,15,2,4
0.703111859,0.58325392,0.684,0.531194296,0.613516647,0.684,01/04/2015 16:00,16,2,4
0.700168209,0.595112276,0.676,0.617468806,0.612743802,0.676,01/04/2015 17:00,17,2,4
0.707737595,0.596359055,0.676,0.548306595,0.608005044,0.676,01/04/2015 18:00,18,2,4
0.704793944,0.591362346,0.674,0.486987522,0.605096707,0.674,01/04/2015 19:00,19,2,4
0.70920942,0.585767532,0.674,0.464171123,0.605544144,0.674,01/04/2015 20:00,20,2,4
0.722455845,0.586022991,0.678,0.429590018,0.602615469,0.678,01/04/2015 21:00,21,2,4
0.749158957,0.579309563,0.672,0.390730838,0.602046005,0.672,01/04/2015 22:00,22,2,4
0.756097561,0.577903231,0.668,0.351158645,0.584880718,0.668,01/04/2015 23:00,23,2,4
0.751261564,0.574744432,0.666,0.515864528,0.584921394,0.666,01/05/2015 00:00,0,4,5
0.74432296,0.571731236,0.666,0.446702317,0.584758689,0.666,01/05/2015 01:00,1,4,5
0.734440706,0.566492147,0.664,0.437076649,0.58526714,0.664,01/05/2015 02:00,2,4,5
