DE,NO,time,GB
60.815,7259.18,01/01/2015 00:00,0
20.3075,7002.52,01/01/2015 01:00,0
6.64,6746.27,01/01/2015 02:00,0
1.1275,6537.95,01/01/2015 03:00,0
1.715,6585.25,01/01/2015 04:00,0
6.835,6523.93,01/01/2015 05:00,0
12.9325,6445.01,01/01/2015 06:00,0
7.26,6512.44,01/01/2015 07:00,0
12.075,6605.32,01/01/2015 08:00,0
6.325,6902.33,01/01/2015 09:00,0
21.94,7102.89,01/01/2015 10:00,0
13.005,7081.8,01/01/2015 11:00,0
6.76,7041.26,01/01/2015 12:00,0
36.37,7283.69,01/01/2015 13:00,0
44.15,8152.47,01/01/2015 14:00,0
33.08,9258.47,01/01/2015 15:00,42.85
58.915,9408.7,01/01/2015 16:00,43.03
56.9425,8955.76,01/01/2015 17:00,42.81
67.0575,8291.76,01/01/2015 18:00,28.38
76.5775,7733.08,01/01/2015 19:00,0
97.815,7081.81,01/01/2015 20:00,0
74.77,6780.58,01/01/2015 21:00,0
69.3775,6544.17,01/01/2015 22:00,0
35.5925,6346.32,01/01/2015 23:00,0
47.41,6296.4,02/01/2015 00:00,0
47.33,6076.63,02/01/2015 01:00,0
54.8725,5469.47,02/01/2015 02:00,0
48.485,4992.32,02/01/2015 03:00,0
25.0025,5985.75,02/01/2015 04:00,0
17.5675,6858.19,02/01/2015 05:00,0
32.16,8437.03,02/01/2015 06:00,0
38.5625,8708.52,02/01/2015 07:00,0
9.82,8754.53,02/01/2015 08:00,0
9.575,8814.22,02/01/2015 09:00,0
24.3675,9132.02,02/01/2015 10:00,0
27.215,9133.4,02/01/2015 11:00,0
26.0925,9003.88,02/01/2015 12:00,0
26.075,9007.88,02/01/2015 13:00,0
24.92,9507.9,02/01/2015 14:00,0
40.0475,10125.74,02/01/2015 15:00,42.95
44.5475,10301.13,02/01/2015 16:00,42.95
59.3475,10008.84,02/01/2015 17:00,42.8
66.3525,9840.19,02/01/2015 18:00,0
58.1,8865.17,02/01/2015 19:00,0
20.7825,8093.32,02/01/2015 20:00,0
31.0125,8121.34,02/01/2015 21:00,0
47.54,7537.34,02/01/2015 22:00,0
41.045,7053.41,02/01/2015 23:00,0
42.7925,6800.89,03/01/2015 00:00,0
78.115,6771.05,03/01/2015 01:00,0
86.115,6985.15,03/01/2015 02:00,0
33.63,7064.78,03/01/2015 03:00,0
46.795,7075.01,03/01/2015 04:00,0
43.6325,7144.39,03/01/2015 05:00,0
44.4575,7770.57,03/01/2015 06:00,0
33.985,8187.34,03/01/2015 07:00,0
55.595,8942.77,03/01/2015 08:00,0
43.51,9747.69,03/01/2015 09:00,0
26.03,9869.44,03/01/2015 10:00,0
27.8875,9623.56,03/01/2015 11:00,0
35.5575,9611.28,03/01/2015 12:00,0
31.39,10310.82,03/01/2015 13:00,0
53.7025,11964.12,03/01/2015 14:00,0
40.3475,12698.63,03/01/2015 15:00,0
38.6525,13141.19,03/01/2015 16:00,42.95
28.05,12944.93,03/01/2015 17:00,42.88
31.75,12401.37,03/01/2015 18:00,42.8
32.965,11705.25,03/01/2015 19:00,0
31.205,10553.64,03/01/2015 20:00,0
31.315,9559.8,03/01/2015 21:00,0
27.695,8633.23,03/01/2015 22:00,0
37.97,8661.07,03/01/2015 23:00,0
34.0075,8386.3,04/01/2015 00:00,0
32.4,8098.05,04/01/2015 01:00,0
39.595,7942.01,04/01/2015 02:00,0
38.94,7885.94,04/01/2015 03:00,0
34.325,8064.8,04/01/2015 04:00,0
26.85,8186.3,04/01/2015 05:00,0
36.2225,8259.67,04/01/2015 06:00,0
16.0375,8997.34,04/01/2015 07:00,0
48.0875,10259.57,04/01/2015 08:00,0
41.9125,11332.05,04/01/2015 09:00,0
32.4425,11419.82,04/01/2015 10:00,0
26.365,11032.93,04/01/2015 11:00,0
26.9175,11093.42,04/01/2015 12:00,0
67.825,11443.04,04/01/2015 13:00,0
50.165,12317.09,04/01/2015 14:00,0
